[run number],alpha-above-cloture,dwnom1-emphasis,minority-floor-time-costs,prop-debate-costs,alpha,position-taking-benefits,cloture-threshold,obst-debate-costs,majority-floor-time-costs,obsts-to-block-vote,[step],mean passing-coalitions,mean minority-supports
59,0.1,90,0.01,0.01,0.25,1,67,0.1,0.05,3,2000,82.70547945205480,74.05896366885040
60,0.1,90,0.01,0.01,0.25,1,67,0.1,0.05,3,2000,82.00275103163690,72.92626039112480
61,0.1,90,0.01,0.01,0.25,1,100,0.01,0.05,3,2000,91.17355371900830,90.00479099293320
63,0.1,90,0.01,0.01,0.25,1,100,0.01,0.05,3,2000,91.4326923076923,90.06410256410240
62,0.1,90,0.01,0.01,0.25,1,100,0.01,0.05,3,2000,91.98853868194840,91.0427307836052
64,0.1,90,0.01,0.01,0.25,1,100,0.01,0.05,3,2000,91.56497175141240,90.46917219356410
65,0.1,90,0.01,0.01,0.25,1,100,0.01,0.05,3,2000,91.97050938337800,90.55251194777940
66,0.1,90,0.01,0.01,0.25,1,100,0.02,0.05,3,2000,91.61959654178680,89.58777095602040
67,0.1,90,0.01,0.01,0.25,1,100,0.02,0.05,3,2000,91.70056497175140,90.14369933677220
69,0.1,90,0.01,0.01,0.25,1,100,0.02,0.05,3,2000,91.99384615384620,90.37458193979920
68,0.1,90,0.01,0.01,0.25,1,100,0.02,0.05,3,2000,91.74846625766870,89.81728460922900
71,0.1,90,0.01,0.01,0.25,1,100,0.05,0.05,3,2000,81.66322314049590,72.88896873877100
72,0.1,90,0.01,0.01,0.25,1,100,0.05,0.05,3,2000,83.30818965517240,76.71008245877050
70,0.1,90,0.01,0.01,0.25,1,100,0.02,0.05,3,2000,91.54466858789630,90.320761809297
76,0.1,90,0.01,0.01,0.25,1,100,0.1,0.05,3,2000,77.75700934579440,67.19490721928750
73,0.1,90,0.01,0.01,0.25,1,100,0.05,0.05,3,2000,82.54207436399220,75.22334723049430
77,0.1,90,0.01,0.01,0.25,1,100,0.1,0.05,3,2000,79.25584795321640,71.35456394609700
74,0.1,90,0.01,0.01,0.25,1,100,0.05,0.05,3,2000,83.30661322645290,78.33057419186180
75,0.1,90,0.01,0.01,0.25,1,100,0.05,0.05,3,2000,83.17634854771780,75.92458957243360
78,0.1,90,0.01,0.01,0.25,1,100,0.1,0.05,3,2000,78.4049459041731,68.43626100396480
79,0.1,90,0.01,0.01,0.25,1,100,0.1,0.05,3,2000,77.24198250728860,66.3170237038914
80,0.1,90,0.01,0.01,0.25,1,100,0.1,0.05,3,2000,78.18934911242600,67.2691021353228
